TF,W,R
SOX15,-1350.86360943904,413
NANOG,-1351.92308394473,414
IRF9,-1358.42973440132,415
EN1,-1388.31837707048,416
TCF7L1,-1389.67966487666,417
GLIS3,-1394.11168061151,418
SOX5,-1398.33560561521,419
FOXQ1,-1400.4753032404,420
RARB,-1402.98422251097,421
MYBL1,-1417.78649863576,422
SCRT1,-1435.52960480173,423
LHX6,-1454.35920331554,424
POU6F2,-1459.94218274532,425
ZNF317,-1462.32576008865,426
CDX1,-1467.63408304999,427
BARHL2,-1470.08765018049,428
NEUROG2,-1471.53614700281,429
MLXIPL,-1477.37810487491,430
LHX3,-1477.93431528139,431
HOXC13,-1482.88559308416,432
NRL,-1488.25531656078,433
ATF4,-1491.62422181431,434
ISL1,-1494.59195425458,435
GMEB1,-1494.94893258301,436
ATF1,-1501.47520041638,437
ALX3,-1512.12249767399,438
HOXD12,-1515.36183307437,439
DPRX,-1515.87556753502,440
HOXD13,-1516.86842288359,441
CEBPE,-1520.76015576558,442
HNF1A,-1545.5831382718,443
DUX4,-1569.05267794394,444
GBX2,-1570.47753320847,445
EMX1,-1570.80839336952,446
GATA6,-1571.98190663569,447
ZNF582,-1572.48464768175,448
HOXC11,-1575.20598182992,449
CREB3L2,-1580.48631197712,450
POU5F1,-1590.92222728109,451
HOXC12,-1602.15666064936,452
SOX8,-1606.17735142754,453
SCRT2,-1608.91659288557,454
ZNF436,-1612.68268420034,455
BARX1,-1615.72133476459,456
FOXA3,-1620.86532102291,457
HSF4,-1626.97948045544,458
PKNOX2,-1641.42247317075,459
MSX1,-1645.51174248243,460
HNF1B,-1649.78829769338,461
NFATC3,-1653.50093162313,462
ARX,-1679.07198007907,463
RORB,-1679.15827362203,464
MSX2,-1681.67139487464,465
CUX1,-1689.11670691072,466
CENPBD1,-1689.76786000893,467
NKX3-2,-1690.01879155648,468
TGIF2LX,-1694.75995574727,469
ZNF680,-1695.88485412352,470
MYBL2,-1696.29920258774,471
MLX,-1697.60803995462,472
SOX13,-1697.74227205769,473
BATF,-1706.01173659658,474
ONECUT1,-1706.36830307546,475
HMX1,-1706.94393144336,476
HMX3,-1709.76292303459,477
HOXA10,-1711.83350795288,478
PKNOX1,-1720.37103862411,479
HMX2,-1721.07423482049,480
TWIST2,-1723.93279817424,481
AIRE,-1724.15609410165,482
FOXK2,-1737.62783767276,483
ALX1,-1738.31617589106,484
EMX2,-1745.23527809502,485
GMEB2,-1748.15096921955,486
ALX4,-1756.42500721408,487
PRRX1,-1760.34699588683,488
HOXD11,-1772.48739204512,489
DBP,-1778.27827336041,490
TBP,-1781.26221000237,491
ZSCAN4,-1794.60334701091,492
SOX7,-1799.93290600852,493
FOXD1,-1804.73125348671,494
SIX3,-1808.08482537172,495
