,stat,pvalue,dof,FDR
ELF1,-2.29360312583711,0.0291366370665748,29.4308978935612,0.0473185071942808
TAF1,-2.29276077186586,0.0290615619674979,29.9413145559194,0.0473185071942808
CSTA,-2.29146662090614,0.0293530670857677,29.1340346758411,0.0474223577333702
ZBTB7A,-2.28743150880453,0.0292469655994109,30.6009070269472,0.0473739911532125
KLF14,-2.28523720964928,0.029806010638581,28.9674114665553,0.0479052677446961
MED13,-2.28350298406709,0.0295805920632969,30.2888728469979,0.0476661353973333
TBX3,-2.28349307634895,0.0299575209048685,28.8337721759411,0.0479950316096475
EGR3,-2.28224327990868,0.0304307623530878,27.4707534138945,0.0484090388327892
ZNF331,-2.27366339064924,0.0314547269859648,26.0767987577871,0.049069246700828
ZNF770,-2.2731759234028,0.0301686953962221,30.6974590953063,0.0481152013755131
RBPJL,-2.26847317564237,0.030791401452335,29.489264873477,0.0488577849575316
GABPA,-2.2665676241213,0.0310370319151033,29.0574842716443,0.0489420381282551
OLIG2,-2.26266014160473,0.0314768961955472,28.4432519826826,0.049069246700828
PPARG,-2.26237902550551,0.0310805547599048,29.9838029345064,0.0489420381282551
RREB1,-2.26045679589721,0.032495136413863,25.711441250896,0.0499061107393156
HIC2,-2.26014499328797,0.0319833158407834,27.3274930270256,0.0496100310547812
SMAD3,-2.25882198585933,0.0313027800450086,30.0760271056485,0.049069246700828
AP2B1,-2.25772488539786,0.0313661301194034,30.1262739883552,0.049069246700828
STAT4,-2.25571699458279,0.0324176600994293,26.9352429182592,0.0499061107393156
E2F4,-2.25389799688377,0.0315814286723541,30.3299175924931,0.0491091215855106
ELF5,-2.24671080111683,0.0322063303591358,29.8688543871526,0.0497080334575247
FEV,-2.24542789887652,0.0321243930620535,30.5470768313629,0.0497049066781027
ZIC4,-2.23781236668572,0.0331582411502704,28.7224898561914,0.0505500637143829
IKZF1,-2.23542608772061,0.0329715803146411,30.0434229858831,0.0505131107283417
SNAI2,-2.23541211529251,0.0334374756818862,28.3611071617457,0.0508511243866338
MYF6,-2.23499416365076,0.0330989667550844,29.6795144143639,0.0505500637143829
ESR1,-2.231620723119,0.0336219107201226,28.6825304319125,0.0510068987022348
REL,-2.22592078678448,0.034541356234411,27.0574285349105,0.0516037706469093
RUNX3,-2.2220197735544,0.0341861281729011,29.203265400174,0.0515194643523425
GLI2,-2.22158949502844,0.0339831935618842,30.071067273997,0.0514295532737031
E2F1,-2.22007450552248,0.0342082617001889,29.6523559399819,0.0515194643523425
ASCL2,-2.21701610107274,0.0345949717827234,29.086434565019,0.0516037706469093
NFIX,-2.21673434050426,0.0347357690090726,28.6698001536535,0.0516650510273291
NR5A2,-2.21451154813652,0.0350951814412507,28.0304190248975,0.0519574517221867
MYOD1,-2.21180074797001,0.0348033060778953,29.7634886037914,0.0516650510273291
RELB,-2.20916881658026,0.035250875605728,28.8818968499599,0.0519574517221867
ESRRA,-2.20888952057333,0.0351912965675592,29.1655122673502,0.0519574517221867
STAT3,-2.20793677474584,0.0353579044023878,28.8391809168535,0.0519920012725419
ZNF134,-2.19832914313145,0.0361381801645735,28.7230688306093,0.0530140284489733
RUNX2,-2.19414262883096,0.0363120364605778,29.2610126133164,0.053143733361128
ID4,-2.1871994450018,0.0378780574319364,26.1040826183234,0.0551759993505022
RARA,-2.18634103681907,0.036684778026884,30.1550560848778,0.0535632204993471
BACH1,-2.1729063373974,0.0380518432950084,29.163964820936,0.0552996414240542
EHF,-2.17065013583331,0.0387406306498786,27.5370428063732,0.055908752353189
ELK4,-2.16989941604687,0.0381444438391593,29.7077840766431,0.0553049978274058
PBX3,-2.16826736761809,0.0387315670290224,28.1839075583457,0.055908752353189
ZNF257,-2.1635385270888,0.0396200752176814,26.6990665154,0.0566521535296501
PPARA,-2.15951318161317,0.0392817643212984,28.783253178863,0.0562978281286811
E2F3,-2.15610975077511,0.0391576671811272,30.2168631270243,0.0562495819553374
HIC1,-2.1449770444034,0.0406398468876338,28.4208113504829,0.0577122939819823
ELF2,-2.14424717474984,0.0404703164839753,29.1854575835922,0.0577122939819823
FOXO3,-2.14324622316434,0.0406080749171656,29.0159110009515,0.0577122939819823
ELF3,-2.14278088416718,0.0412010492947542,27.2894692001465,0.0581112305245739
GCM1,-2.1390721289028,0.040795092055262,29.6200294067946,0.0578007910213508
THRA,-2.1360309849032,0.0411163743615359,29.4357472288124,0.0581112305245739
NR1H3,-2.12947364467442,0.0423995221397701,27.2388412724999,0.0593975287633716
PAX5,-2.12562849149883,0.041769237601184,30.3963369699073,0.0587494130913528
TP63,-2.12355453962896,0.0428147386706216,27.5891091384576,0.0597102409262929
REST,-2.12065119168853,0.0445490171313109,23.8455882801326,0.0614050644337353
MXI1,-2.11758747532976,0.0425308162700685,30.2766077552074,0.0594475679100732
SMAD4,-2.11702031753001,0.0429934694358453,28.8814107420206,0.0598253646288496
ZBTB7C,-2.11446978719589,0.0433342644856978,28.5415888110242,0.0601649832814822
ETV6,-2.10710566312041,0.0438804007408195,28.9794344187285,0.0607875484650105
PRDM1,-2.09819059350998,0.0446223297814282,29.2967069797299,0.0614050644337353
ATOH1,-2.0970122582528,0.044859831653089,28.8898354419121,0.0615956187377955
SNAI1,-2.09292283401901,0.0453501328481316,28.576199915696,0.0619951266627205
HINFP,-2.09248341273852,0.0452107586496648,29.1534054148937,0.0619407310134174
SOX4,-2.09234237375982,0.0457243331568615,27.618139432106,0.0622182500027079
NR4A2,-2.08751641404322,0.0458866381171348,28.5299589114165,0.0622182500027079
RORA,-2.08543892748168,0.0458386264496772,29.3239889158923,0.0622182500027079
FOXO4,-2.07887391001445,0.0464743143712804,29.3445297812912,0.0627050402146126
ZNF143,-2.07670347496912,0.0462452600419802,30.8617506847932,0.0625316342306776
BCL6,-2.07308603087066,0.0476427226831675,27.5316742915633,0.0640038304728513
ZNF708,-2.07189055348946,0.0506824470706774,21.1642428978509,0.0670733661233221
GLIS2,-2.06808896669986,0.0486100879902243,26.2683796573917,0.0648829929826599
TBX2,-2.06079305064502,0.0484590930108808,28.7904342903408,0.0648829929826599
ZNF121,-2.05492711892587,0.0485786109927042,30.3586208539572,0.0648829929826599
