"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"Ionocytes",0.82520325203252,0.918106929413665,0.0552495663125249,-0.297962759617492,-0.728011202237909,12,"MYH14;PIGR;MYO5B"
"Peri-islet Schwann Cells",0.831967213114754,0.919542709232097,0.0552495663125249,0.373050433574227,0.666925556819304,4,"DAB2IP;NCKAP1"
"Cardiac Stem And Precursor Cells",0.856046065259117,0.923765923566879,0.0509082865515105,0.280910293865787,0.695519688318944,15,"EPHA2;DAB2IP;ERRFI1;TBX3;PTPRF;NCKAP1"
"Photoreceptor Cells",0.860655737704918,0.923765923566879,0.0536769600638126,0.35901387636945,0.641831526931897,4,"PRKCA;STX3"
"Pulmonary Vascular Smooth Muscle Cells",0.86328125,0.923765923566879,0.0513223330421143,-0.564737370357979,-0.749227813313228,1,"MYLK"
"Stromal Cells",0.84375,0.923765923566879,0.0523759084097997,-0.572097691535631,-0.75899263078532,1,"B4GALNT1"
"Vascular Smooth Muscle Cells",0.86328125,0.923765923566879,0.0513223330421143,-0.564737370357979,-0.749227813313228,1,"MYLK"
"Retinal Ganglion Cells",0.881632653061225,0.937432188065099,0.0523759084097997,0.430630730823628,0.64231029960999,2,"PRKCA"
"Hepatic Stellate Cells",0.900390625,0.937893916861412,0.0493910105981501,-0.456687364851369,-0.667400024501085,2,"NR1H4"
"Juxtaglomerular Cells",0.904397705544933,0.937893916861412,0.0482149710025564,-0.335954538870099,-0.627226658768525,5,"CDC42EP5"
"Motor Neurons",0.89453125,0.937893916861412,0.0496901392724606,-0.462182061579652,-0.675429939522438,2,"B4GALNT1;ONECUT2"
"Olfactory Epithelial Cells",0.898305084745763,0.937893916861412,0.0478299633114229,0.255676654013401,0.677016972797844,19,"CEP170B;TOLLIP;CLSTN1;PTPRF;CYB561;RNF128"
"T Cells",0.916492693110647,0.944605965905452,0.05163559644842,0.298562008865074,0.576046718622425,6,"MBD2;CLEC2D;CCL5"
"Cardiomyocytes",0.931958762886598,0.954689464420417,0.0502948063662358,-0.248863588135249,-0.648930513831741,16,"SLC5A1;MTTP"
"Basophils",0.962421711899791,0.979920288479787,0.0493910105981501,0.251398117139875,0.485048519725516,6,"FBXO9;CDH1;ID1"
"Myoepithelial Cells",0.977319587628866,0.989094522419575,0.0481183992657975,-0.22111345443741,-0.576569954159785,16,"SDC4;CDC42EP5;EMP1;GNG12;PERP;FBLIM1;SDC1"
"Enteric Neurons",0.995824634655532,0.995824634655532,0.0478299633114229,0.214036064372604,0.396531536079928,5,"CYB561;PPP2R5B;CASZ1"
"Germ Cells",0.990439770554493,0.995824634655532,0.0440640346597561,-0.240674029559484,-0.449338079850505,5,"AQP11;MRPL14;SMIM24"
