"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"Hepatic Stellate Cells",0.816700610997963,0.887902910087433,0.055826471778749,0.488900764217915,0.733443040466602,2,"VEGFA"
"Intercalated Cells",0.72848948374761,0.887902910087433,0.0582216241124161,-0.393546919150018,-0.800591017088577,6,"SCIN;PIGR"
"Luteal Cells",0.823970037453184,0.887902910087433,0.051530912208539,0.264414922774674,0.742837166944427,23,"CEP170B;AKT1;DAB2IP;ERRFI1;LGR4;PTPRF"
"Microfold Cells",0.724941724941725,0.887902910087433,0.0679922591544058,-0.248530978057584,-0.856558917497479,48,"LTBR;VDR;ZFP36;TICAM1;CTSZ;CTSH;ZC3H12A;NFE2L2;IRF2;KLF5"
"Neuroendocrine Cells",0.765166340508806,0.887902910087433,0.0570059526582387,-0.558910933833224,-0.819899750413487,2,"PPP1R1B"
"Olfactory Epithelial Cells",0.757462686567164,0.887902910087433,0.0552495663125249,0.289833331569219,0.782066188507808,19,"CEP170B;TOLLIP;CLSTN1;PTPRF;CYB561;ATP9A;RNF128"
"Oligodendrocyte Progenitor Cells",0.79296875,0.887902910087433,0.0552495663125249,-0.596520575443292,-0.791394070579079,1,"LAD1"
"Pancreatic Progenitor Cells",0.788671023965142,0.887902910087433,0.060640400949416,-0.276899958038929,-0.792407248751502,21,"MYH14;HNF4G;MAL2;COBL;HES1;CDX2;TMEM54"
"Parietal Cells",0.746268656716418,0.887902910087433,0.0559428593065705,0.29170840257073,0.787125750233832,19,"PLEKHA7;ABLIM1;CGN;GJB1"
"Pinealocytes",0.83469387755102,0.887902910087433,0.0549073703290958,0.578119772499164,0.776225414319979,1,"SLC6A6"
"Pulmonary Vascular Smooth Muscle Cells",0.830612244897959,0.887902910087433,0.0551351763385257,0.58146537303446,0.780717459541739,1,"MYLK"
"Pyramidal Cells",0.769387755102041,0.887902910087433,0.0587185879555941,0.610237537638006,0.819349048448867,1,"YWHAZ"
"Schwann Cells",0.77035490605428,0.887902910087433,0.0597317976364411,0.385576754100795,0.752681888011975,6,"ITGB4;DAB2IP;BAG3;NDRG1"
